variable,coefficient,se,t,p
const,54.30850800757543,42.09471273000783,1.2901503415857931,0.19699846388691844
env_greenery_z,-0.4603087255716144,0.2982347648866695,-1.5434442250437628,0.12272303033917008
env_open_space_z,-0.6598565872886354,0.3040662567601832,-2.1701079045053784,0.02999867252115534
env_building_z,-0.35521998588538994,0.44084435104693803,-0.8057718898785857,0.4203743891108622
env_road_z,-0.4630791113820415,0.4015308410781858,-1.15328404198937,0.24879381793904254
env_active_infra_z,0.04882603134830024,0.23728304268014674,0.205771262863132,0.8369695897279189
env_active_presence_z,-0.05871559114528762,0.2870453110225438,-0.20455164704180184,0.8379224365556003
env_vehicle_presence_z,0.07997040366227168,0.169722122457283,0.4711843247329131,0.6375091116383709
env_physical_boundaries_z,0.014343672137164726,0.3294993013866582,0.04353172245525591,0.9652776776236497
env_symbolic_us_flag_z,-0.13074802672333205,0.0948002362574189,-1.3791951569435033,0.16783459089188857
env_surveillance_cctv_z,0.18531497355918608,0.15905861518729295,1.1650734752152596,0.24398925258406778
visual_complexity_mean_z,0.1998056446831769,0.30820574413846713,0.6482865698746046,0.5167996187674911
us_census_male_share_z,-0.07539801986657026,0.199886165225821,-0.37720479444582616,0.7060214175660865
us_census_age_15_29_share_z,-0.12618641906242598,0.2470357343386596,-0.5108022910136469,0.6094895047780104
us_census_age_30_44_share_z,-0.13974240109932032,0.24121010117716513,-0.5793389265928033,0.5623605046293334
us_census_age_45_59_share_z,-0.4435101507224999,0.2411562981740477,-1.8390983527305973,0.065900721271728
us_census_age_60_plus_share_z,-0.1628711063870002,0.2879083522832342,-0.5657046942034293,0.5715945436203976
us_census_population_density_km2_z,-0.4463706409617099,0.12870329646045897,-3.468214515382259,0.0005239288787596204
acs_median_income_z,-444.2731860989569,344.8492050052334,-1.2883114696239901,0.19763756212196237
acs_racial_diversity_z,0.015676137582733382,0.1775783350171182,0.08827730917300375,0.9296562731929867
