variable,coefficient,se,t,p
const,10.41195559772274,74.67433341275907,0.1394315171207638,0.8891091685404169
env_greenery_z,-0.1337212540930666,0.5279040731003565,-0.25330597149540407,0.8000317819698988
env_open_space_z,0.39667609627188805,0.391471265264081,1.0132955633520022,0.3109190060618291
env_building_z,0.27224420500499275,0.5567084757300226,0.48902471737652936,0.624824197769011
env_road_z,0.26177933522853175,0.408763717472864,0.6404172484949331,0.5219013721284409
env_active_infra_z,-2.831323351415297,1.1306497685520178,-2.504155955421342,0.012274391652802674
env_active_presence_z,0.13987554909733785,0.2714686321900852,0.5152549227101697,0.6063748940521159
env_vehicle_presence_z,0.12275531624479834,0.2014401766063911,0.609388446301152,0.5422669942386151
env_physical_boundaries_z,-0.14049514568477958,0.357036882806087,-0.3935031713826747,0.6939478821071827
env_symbolic_us_flag_z,0.007188983624696924,0.22964118484660784,0.03130528885530228,0.9750260725801708
env_surveillance_cctv_z,0.09848464816604555,0.19662136715340478,0.5008847695032423,0.6164522219857446
visual_complexity_mean_z,0.31196831302003714,0.5792035335069488,0.5386160390478599,0.5901518181556605
us_census_male_share_z,-0.16801685237982641,0.24067166560556338,-0.6981164648404815,0.48510436206456764
us_census_age_15_29_share_z,0.589193104805439,0.41426150522203664,1.4222733644769676,0.15494690809806838
us_census_age_30_44_share_z,0.38658101241156834,0.2971479539434956,1.3009714766034666,0.19326821823115692
us_census_age_45_59_share_z,-0.3153075240222122,0.30895612079697277,-1.0205576222566997,0.30746407584558055
us_census_age_60_plus_share_z,0.639594823341572,0.32802240538542526,1.9498510249324286,0.05119387787329602
us_census_population_density_km2_z,0.48538916908427704,0.29998897691001425,1.6180233490041738,0.10565756584375229
acs_median_income_z,-95.93975522052173,613.511852188907,-0.15637799804229507,0.8757350788281111
acs_racial_diversity_z,-0.5131134719986211,0.2615012175515241,-1.9621838735703834,0.04974108074887963
