variable,coefficient,se,t,p
const,-40.54348346894168,48.80565451136829,-0.8307128318399642,0.406135875636786
env_greenery_z,0.21270956062157304,0.24209110586470803,0.8786343466101775,0.37959956664806493
env_open_space_z,0.5296622353802334,0.27902541219035976,1.8982580519185164,0.05766209691581492
env_building_z,0.182532966796232,0.3975257298869956,0.45917271027493123,0.6461101459363185
env_road_z,0.16463391606424949,0.36079642730787953,0.4563069465312691,0.648169269408776
env_active_infra_z,-0.017458844034101462,0.2465875768869564,-0.07080179891667922,0.9435555000914944
env_active_presence_z,-0.05465285663376134,0.21560094704340477,-0.2534908004033889,0.7998889692886129
env_vehicle_presence_z,-0.3023310531586831,0.18497100588489293,-1.6344780724543557,0.10215850679048934
env_physical_boundaries_z,-0.7324218053748618,0.30633824810295074,-2.3908924527397493,0.016807475427668642
env_symbolic_us_flag_z,0.2561500747733301,0.10903499198908748,2.349246513440074,0.01881144791147669
env_surveillance_cctv_z,-0.03349562682671246,0.1840973962307057,-0.1819451416071995,0.8556257778208753
visual_complexity_mean_z,0.14499012236274028,0.22552352379067328,0.6429046510346185,0.520285971298603
us_census_male_share_z,0.3277949467365742,0.1752885232447238,1.870030853525608,0.061479533457618855
us_census_age_15_29_share_z,-0.14305821871131383,0.21406230923262878,-0.6683017632770074,0.5039409880216512
us_census_age_30_44_share_z,-0.12941198390624942,0.21546288173096712,-0.6006230997496672,0.5480910488093791
us_census_age_45_59_share_z,-0.03225654631104742,0.21412210978170668,-0.15064556548565836,0.8802553154725872
us_census_age_60_plus_share_z,0.06327853566602193,0.28798178136061364,0.2197310377311123,0.8260806307354891
us_census_population_density_km2_z,0.31382282588612126,0.1228259034695255,2.5550215143663424,0.010618123480141461
acs_median_income_z,330.41595554553487,400.25096755842134,0.8255219407990733,0.4090753314257739
acs_racial_diversity_z,0.022864362949586246,0.1650750647439429,0.1385088837314856,0.889838249087079
